catalogId,courseId,courseTypeId,semesterNumber
1,12,2,1
1,89,4,1
1,96,4,1
1,95,4,1
1,101,1,1
1,103,1,1
1,13,2,2
1,14,2,2
1,90,4,2
1,97,4,2
1,98,4,2
1,102,1,2
1,104,1,2
1,105,1,2
1,2,1,3
1,17,2,3
1,18,2,3
1,91,4,3
1,99,4,3
1,100,4,3
1,106,1,3
1,3,1,4
1,15,2,4
1,16,2,4
1,19,2,4
1,92,4,4
1,93,4,4
1,25,2,5
1,26,2,5
1,27,2,5
1,94,4,5
1,7,1,5
1,4,1,6
1,8,1,6
1,33,2,6
1,34,2,6
1,39,2,6
1,41,2,7
1,59,2,7
1,60,2,7
1,6,1,8
1,40,2,8
1,61,2,8
1,20,3,NULL
1,22,3,NULL
1,23,3,NULL
1,24,3,NULL
1,28,3,NULL
1,29,3,NULL
1,30,3,NULL
1,31,3,NULL
1,32,3,NULL
1,35,3,NULL
1,36,3,NULL
1,37,3,NULL
1,38,3,NULL
1,42,3,NULL
1,43,3,NULL
1,44,3,NULL
1,45,3,NULL
1,46,3,NULL
1,47,3,NULL
1,48,3,NULL
1,49,3,NULL
1,50,3,NULL
1,51,3,NULL
1,52,3,NULL
1,55,3,NULL
1,56,3,NULL
1,57,3,NULL
1,58,3,NULL
