courseCode,courseTitle,departmentId,credits
1001,Fundamentals of Computing I ,2,3 
1101,Fundamentals of Computing II ,2,3 
1102,Fundamentals of Computing II Lab ,2,1 
2202,Analysis and Design of Algorithms ,2,3 
2203,Analysis and Design of Algorithms Lab ,2,1 
2301,Digital Design I ,2,3 
2303,Computer Organization and Assembly Language Programming ,2,3 
2302,Digital Design I Lab ,2,1 
3104,Concepts of Programming Languages ,2,3 
3301,Computer Architecture ,2,3 
3302,Computer Architecture Lab ,2,1 
3701,Software Engineering ,2,3 
3401,Operating Systems ,2,3 
3402,Operating Systems Lab ,2,1 
4201,Theory of Computing ,2,3 
4101,Compiler Design ,2,3 
4950,Industrial Training ,2,1 
4980,Senior Project I ,2,1 
4981,Senior Project II ,2,2 
2501,Fundamentals of Database Systems ,2,3 
3101,Programming Language ,2,1-3 
3102,Programming in Java ,2,3 
3103,Object Oriented Programming ,2,3 
3311,Data and Computer Communications ,2,3 
4602,Introduction to Artificial Neural Networks ,2,3 
4301,Embedded Systems ,2,3 
3303,Fundamental Microelectronics ,2,3 
3304,Digital Design II ,2,3 
3312,Computer Networks ,2,3 
3611,Digital Signal Processing ,2,3 
4314,Local Area Networks Lab ,2,1 
4313,Local and Metropolitan Area Networks ,2,3 
4302,Embedded Systems Lab ,2,1 
3313,Computer Networks Lab ,2,1 
4701,Object,2,3 
4411,Fundamentals of Distributed Systems ,2,3 
4421,Computer Security ,2,3 
4702,Secure Systems Engineering ,2,3 
4501,Database Systems ,2,3 
4621,Computer Graphics ,2,3 
4502,Design of Web,2,3 
3601,Artificial Intelligence ,2,3 
4603,Fundamentals of Computer Vision ,2,3 
4930,Selected Topics in Computer Science and Engineering ,2,1-3 
4910,Guided Studies in Computer Science and Engineering ,2,1-3 
2141,Differential Equations ,3,3 
3143,Numerical Methods ,3,3 
3145,Operations Research ,3,3 
3133,Formal and Mathematical Logic ,3,3 
4134,Modern Algebra ,3,3 
4212,Stochastic Processes ,3,3 
4135,Graph Theory ,3,3 
4604,Practical Machine Deep Learning ,2,3 
1122,Calculus II ,3,3 
2131,Discrete Mathematics ,3,3 
2123,Calculus III ,3,3 
2132,Linear Algebra ,3,3 
3211,Applied Probability ,3,3 
3223,Statistical Inference ,3,3 
1011,Classical Mechanics,4,3 
1021,Electricity and Magnetism ,4,3 
1012,General Physics Laboratory I ,4,1 
1022,General Physics Laboratory II ,4,1 
2211,Introduction to Electronics ,4,3 
2213,Electronics lab for Computer Scientists ,4,1 
