majorTitle,catalogYear,courseCode,prefix,courseTypeId
Computer Engineering (B.S),2020-2021,1001,CSCE,2
Computer Engineering (B.S),2020-2021,1101,CSCE,2
Computer Engineering (B.S),2020-2021,1102,CSCE,2
Computer Engineering (B.S),2020-2021,2202,CSCE,2
Computer Engineering (B.S),2020-2021,2203,CSCE,2
Computer Engineering (B.S),2020-2021,2301,CSCE,2
Computer Engineering (B.S),2020-2021,2303,CSCE,2
Computer Engineering (B.S),2020-2021,2302,CSCE,2
Computer Engineering (B.S),2020-2021,2501,CSCE,2
Computer Engineering (B.S),2020-2021,3301,CSCE,2
Computer Engineering (B.S),2020-2021,3303,CSCE,2
Computer Engineering (B.S),2020-2021,3304,CSCE,2
Computer Engineering (B.S),2020-2021,3302,CSCE,2
Computer Engineering (B.S),2020-2021,3701,CSCE,2
Computer Engineering (B.S),2020-2021,3401,CSCE,2
Computer Engineering (B.S),2020-2021,3402,CSCE,2
Computer Engineering (B.S),2020-2021,3611,CSCE,2
Computer Engineering (B.S),2020-2021,4301,CSCE,2
Computer Engineering (B.S),2020-2021,3312,CSCE,2
Computer Engineering (B.S),2020-2021,4302,CSCE,2
Computer Engineering (B.S),2020-2021,3313,CSCE,2
Computer Engineering (B.S),2020-2021,4411,CSCE,2
Computer Engineering (B.S),2020-2021,4950,CSCE,2
Computer Engineering (B.S),2020-2021,4980,CSCE,2
Computer Engineering (B.S),2020-2021,4981,CSCE,2
Computer Engineering (B.S),2020-2021,3201,MGMT,2
Computer Engineering (B.S),2020-2021,3101,CSCE,3
Computer Engineering (B.S),2020-2021,3102,CSCE,3
Computer Engineering (B.S),2020-2021,3103,CSCE,3
Computer Engineering (B.S),2020-2021,3104,CSCE,3
Computer Engineering (B.S),2020-2021,3311,CSCE,3
Computer Engineering (B.S),2020-2021,4201,CSCE,3
Computer Engineering (B.S),2020-2021,4602,CSCE,3
Computer Engineering (B.S),2020-2021,4314,CSCE,3
Computer Engineering (B.S),2020-2021,4313,CSCE,3
Computer Engineering (B.S),2020-2021,4701,CSCE,3
Computer Engineering (B.S),2020-2021,4421,CSCE,3
Computer Engineering (B.S),2020-2021,4101,CSCE,3
Computer Engineering (B.S),2020-2021,4501,CSCE,3
Computer Engineering (B.S),2020-2021,4621,CSCE,3
Computer Engineering (B.S),2020-2021,4502,CSCE,3
Computer Engineering (B.S),2020-2021,4603,CSCE,3
Computer Engineering (B.S),2020-2021,3601,CSCE,3
Computer Engineering (B.S),2020-2021,4702,CSCE,3
Computer Engineering (B.S),2020-2021,4930,CSCE,3
Computer Engineering (B.S),2020-2021,4910,CSCE,3
Computer Engineering (B.S),2020-2021,4103,ECNG,3
Computer Engineering (B.S),2020-2021,4930,ECNG,3
Computer Engineering (B.S),2020-2021,3143,MACT,3
Computer Engineering (B.S),2020-2021,3133,MACT,3
Computer Engineering (B.S),2020-2021,4134,MACT,3
Computer Engineering (B.S),2020-2021,4212,MACT,3
Computer Engineering (B.S),2020-2021,4135,MACT,3
Computer Engineering (B.S),2020-2021,1005,CHEM,5
Computer Engineering (B.S),2020-2021,1015,CHEM,5
Computer Engineering (B.S),2020-2021,1001,ENGR,5
Computer Engineering (B.S),2020-2021,1005,ENGR,5
Computer Engineering (B.S),2020-2021,2102,ENGR,5
Computer Engineering (B.S),2020-2021,2104,ENGR,5
Computer Engineering (B.S),2020-2021,3202,ENGR,5
Computer Engineering (B.S),2020-2021,3222,ENGR,5
Computer Engineering (B.S),2020-2021,3322,ENGR,5
Computer Engineering (B.S),2020-2021,1121,MACT,5
Computer Engineering (B.S),2020-2021,1122,MACT,5
Computer Engineering (B.S),2020-2021,2131,MACT,5
Computer Engineering (B.S),2020-2021,2123,MACT,5
Computer Engineering (B.S),2020-2021,2141,MACT,5
Computer Engineering (B.S),2020-2021,2132,MACT,5
Computer Engineering (B.S),2020-2021,3224,MACT,5
Computer Engineering (B.S),2020-2021,1011,PHYS,5
Computer Engineering (B.S),2020-2021,1021,PHYS,5
Computer Engineering (B.S),2020-2021,1012,PHYS,5
Computer Engineering (B.S),2020-2021,1022,PHYS,5
Computer Engineering (B.S),2020-2021,2211,PHYS,5
Computer Engineering (B.S),2020-2021,2213,PHYS,5
Computer Science (B.S),2020-2021,1001,CSCE,2
Computer Science (B.S),2020-2021,1101,CSCE,2
Computer Science (B.S),2020-2021,1102,CSCE,2
Computer Science (B.S),2020-2021,2202,CSCE,2
Computer Science (B.S),2020-2021,2203,CSCE,2
Computer Science (B.S),2020-2021,2301,CSCE,2
Computer Science (B.S),2020-2021,2303,CSCE,2
Computer Science (B.S),2020-2021,2302,CSCE,2
Computer Science (B.S),2020-2021,3104,CSCE,2
Computer Science (B.S),2020-2021,3301,CSCE,2
Computer Science (B.S),2020-2021,3302,CSCE,2
Computer Science (B.S),2020-2021,3701,CSCE,2
Computer Science (B.S),2020-2021,3401,CSCE,2
Computer Science (B.S),2020-2021,3402,CSCE,2
Computer Science (B.S),2020-2021,4201,CSCE,2
Computer Science (B.S),2020-2021,4101,CSCE,2
Computer Science (B.S),2020-2021,4950,CSCE,2
Computer Science (B.S),2020-2021,4980,CSCE,2
Computer Science (B.S),2020-2021,4981,CSCE,2
Computer Science (B.S),2020-2021,2501,CSCE,3
Computer Science (B.S),2020-2021,3101,CSCE,3
Computer Science (B.S),2020-2021,3102,CSCE,3
Computer Science (B.S),2020-2021,3103,CSCE,3
Computer Science (B.S),2020-2021,3311,CSCE,3
Computer Science (B.S),2020-2021,4602,CSCE,3
Computer Science (B.S),2020-2021,4301,CSCE,3
Computer Science (B.S),2020-2021,3303,CSCE,3
Computer Science (B.S),2020-2021,3304,CSCE,3
Computer Science (B.S),2020-2021,3312,CSCE,3
Computer Science (B.S),2020-2021,3611,CSCE,3
Computer Science (B.S),2020-2021,4314,CSCE,3
Computer Science (B.S),2020-2021,4313,CSCE,3
Computer Science (B.S),2020-2021,4302,CSCE,3
Computer Science (B.S),2020-2021,3313,CSCE,3
Computer Science (B.S),2020-2021,4701,CSCE,3
Computer Science (B.S),2020-2021,4411,CSCE,3
Computer Science (B.S),2020-2021,4421,CSCE,3
Computer Science (B.S),2020-2021,4702,CSCE,3
Computer Science (B.S),2020-2021,4501,CSCE,3
Computer Science (B.S),2020-2021,4621,CSCE,3
Computer Science (B.S),2020-2021,4502,CSCE,3
Computer Science (B.S),2020-2021,3601,CSCE,3
Computer Science (B.S),2020-2021,4603,CSCE,3
Computer Science (B.S),2020-2021,4930,CSCE,3
Computer Science (B.S),2020-2021,4910,CSCE,3
Computer Science (B.S),2020-2021,2141,MACT,3
Computer Science (B.S),2020-2021,3143,MACT,3
Computer Science (B.S),2020-2021,3133,MACT,3
Computer Science (B.S),2020-2021,4134,MACT,3
Computer Science (B.S),2020-2021,4212,MACT,3
Computer Science (B.S),2020-2021,4135,MACT,3
Computer Science (B.S),2020-2021,4604,CSCE,3
Computer Science (B.S),2020-2021,1121,MACT,4
Computer Science (B.S),2020-2021,1122,MACT,4
Computer Science (B.S),2020-2021,2131,MACT,4
Computer Science (B.S),2020-2021,2123,MACT,4
Computer Science (B.S),2020-2021,2132,MACT,4
Computer Science (B.S),2020-2021,3211,MACT,4
Computer Science (B.S),2020-2021,3223,MACT,4
Computer Science (B.S),2020-2021,1011,PHYS,4
Computer Science (B.S),2020-2021,1021,PHYS,4
Computer Science (B.S),2020-2021,1012,PHYS,4
Computer Science (B.S),2020-2021,1022,PHYS,4
Computer Science (B.S),2020-2021,2211,PHYS,4
Computer Science (B.S),2020-2021,2213,PHYS,4
