majorTitle,catalogYear,courseTitle,semesterNumber
computerScience,2019-2020,Fundamentals of Computing I,1
computerScience,2019-2020,"Classical Mechanics, Sound and Heat",1
computerScience,2019-2020,General Physics Laboratory I,1
computerScience,2019-2020,Calculus II,1
computerScience,2019-2020,Freshman Writing,1
computerScience,2019-2020,Freshman Seminar,1
computerScience,2019-2020,Digital Design I,3
computerScience,2019-2020,Digital Design I Lab,3
computerScience,2019-2020,Introduction to Electronics,3
computerScience,2019-2020,Electronics Lab for Computer Scientists & Computer Engineers,3
computerScience,2019-2020,Discrete Mathematics,3
computerScience,2019-2020,Pathways 2: Cultural Explorations,3
computerScience,2019-2020,Philosophical Thinking,3
computerScience,2019-2020,Concepts of Programming Languages,5
computerScience,2019-2020,Computer Architecture,5
computerScience,2019-2020,Computer Architecture Lab,5
computerScience,2019-2020,Computer Science Elective,5
computerScience,2019-2020,Statistical Inference,5
computerScience,2019-2020,Arab World Studies 1,5
computerScience,2019-2020,Theory of Computing,7
computerScience,2019-2020,Industrial Training,7
computerScience,2019-2020,Senior Project I (Core Capstone I),7
computerScience,2019-2020,Computer Science Elective,7
computerScience,2019-2020,Computer Science Elective,7
computerScience,2019-2020,General Elective,7
computerScience,2019-2020,General Elective,7
computerScience,2019-2020,Fundamentals of Computing II,2
computerScience,2019-2020,Fundamentals of Computing II Lab (1 cr.),2
computerScience,2019-2020,Electricity and Magnetism,2
computerScience,2019-2020,General Physics Laboratory II,2
computerScience,2019-2020,Calculus III,2
computerScience,2019-2020,Research Writing,2
computerScience,2019-2020,Scientific Thinking,2
computerScience,2019-2020,Libraries & Learning Technologies,2
computerScience,2019-2020,Analysis & Design of Algorithms,4
computerScience,2019-2020,Analysis & Design of Algorithms Lab,4
computerScience,2019-2020,Computer Organization & Assembly Language Programming,4
computerScience,2019-2020,Linear Algebra,4
computerScience,2019-2020,Applied Probability,4
computerScience,2019-2020,Global Studies,4
computerScience,2019-2020,Software Engineering,6
computerScience,2019-2020,Operating Systems,6
computerScience,2019-2020,Operating Systems Lab,6
computerScience,2019-2020,Computer Science Elective,6
computerScience,2019-2020,Computer Science Elective,6
computerScience,2019-2020,Arab World Studies 2,6
computerScience,2019-2020,Humanities/Social Sciences (Secondary Level),6
computerScience,2019-2020,Compiler Design,8
computerScience,2019-2020,Senior Project II (Core Capstone I),8
computerScience,2019-2020,Computer Science Electives,8
computerScience,2019-2020,Core Capstone II,8
computerScience,2019-2020,General Elective,8
